"product_id","product_title","star_rating","review_date","review_headline","review_body","helpful_votes"
"B00FYX2JDO","BingoBuy US Layout TPU Clear Transparent Non-toxic Ultra Thin Keyboard Protector Cover Skin for Dell Alienware 18 (2013 version), Alienware New 17 R2 R3 R4 (2015 & 2016 version) Gaming Laptop","5","2015-05-02","Five Stars","it fits the keyboard well","0"
"B00NWE9RPA","Asus ROG G751JY 17.3-Inch Gaming Laptop (Intel Core i7 4860H, 4 GB DDR3, 1TB HDD 7200 SSD With 256 GB RPM)","5","2015-05-05","it looks like maybe someone opened it up","I have read a lot of reviews on this laptop before buying it and everything I read was positive and I agree.<br /><br />I got this laptop used from the Amazon Warehouse which was about $500 cheaper than brand new and when I received this laptop, it looks like maybe someone opened it up, looked at it, maybe turned it on and then packed it back up and sent it back. There was no wear on it what so ever. There was only a small dent on the box that it came in and that's about it.<br /><br />The performace of this machine is awesome. It plays everything I throw at it at Max settings. But the best part I love about it is how quite it is when gaming or doing anything cpu/GPU intensive. I have played games on other gaming laptops and non of them come close to how quite this laptop is. Its just amazing.<br /><br />I have used it for about a month now and have not see anything wrong or bad about this laptop.<br /><br />There were a few times that I was gaming and have forgot to plug in the laptop and received a battery message about 2 hours afterwards, and to be honest, I have not noticed any performace issues while it was running on the batter (although I don't remember what game I was playing).<br /><br />I also use this laptop for class (my virtualization class) and have it run 4-5 VM's at the same time and it handles it quite well. I might get another 8GB memory stick so it will have 32GB but for now 24GB of memory is plenty.","2"
"B00NWE9SBS","ASUS G751JY 17-Inch Gaming Laptop [2014 model]","5","2015-05-05","Great laptop","Everything worked great right out of the box.  I hate Windows 8","0"
"B00NWE9RPA","Asus ROG G751JY 17.3-Inch Gaming Laptop (Intel Core i7 4860H, 4 GB DDR3, 1TB HDD 7200 SSD With 256 GB RPM)","5","2015-05-06","College Gamer's Dream","This laptop is an amazing piece of hardware. The specs speak for themselves. I bought this laptop because I’m a college student that goes home on the weekend. I travel from my dorm to my home every Friday and return back to campus every Monday. I am a hardcore gamer, and I wanted to be able to play all of my games on high settings. This laptop allowed me to play all of my games on high with 60 fps, and next gen games will also run on this beast at medium to high settings. I am also able to take the laptop with me on my trips home and to study groups.<br />Cons<br />I do not like the material that the laptop is made of. It is very susceptible to finger prints and anything else that’s greasy. I wrapped mine in carbon fiber vinyl which solved the problem. I hate that there are no official skins available for it.","4"
"B00NJVRTHE","ASUS GL771JM 17-Inch Gaming Laptop [2014]","5","2015-05-06","He seems satisfied with it","I purchased this for my step-son.  He seems satisfied with it.","0"
"B00OBQ5950","ASUS G751JT 17-Inch Gaming Laptop [2014 model]","5","2015-05-07","A Beast that will last me several years","This laptop is awesome. I work, some compiling and other applications. I think I've had it for a month now. I'm not really much of a gamer. I have been using it with Occulus Rift DK II. It's more for work than anything else. It was strange when it arrived, never had a computer come loaded with nothing, no junk, no anything, virgin operating system. There wasn't even an install disk for drivers, I had to go out to ASUS and grab them, along with the most recent NVIDIA ones. It's more laptop than I need, but I believe it will last me for a long time. Having had several high end laptops for programming, occasional games, and other things like video editing. This doesn't have an issue powering through anything, and the best thing about it when it does, I doesn't turn into a scalding radiator on your lap, barely seems to get warm.<br /><br />Pros: everything above<br /><br />Cons: it's disconcerting to go out and locate all of the drivers and things to optimize stuff. I am not even sure that's a bad thing.<br /><br />Overall: A beast. Absolutely nothing installed, no 30 day trial software I have to uninstall, no manufacturer garbage software. No wasting time just wiping it to install Pro or Enterprise Windows, which I usually do to save time removing all the junk. It's a &#34;power on and go&#34; machine just as it comes.","1"
"B00GEZ0B8Q","TPU Clear Ultra Thin Keyboard Protector Cover Skin for 2013 Dell Alienware 18 (2013 version), Alienware 17 R2 R3(2015 version), Alienware M17(2015 version) Gaming Laptop","5","2015-05-08","Five Stars","good","0"
"B00NVV2B98","ASUS ROG G751JT-WH71(WX) 17-Inch Gaming Laptop, Nvidia GeForce GTX 970M, 16 GB RAM, 1 TB HDD (Win 10 Version)","5","2015-05-08","Awesome laptop, would recommend to anyone","Awesome laptop, would recommend to anyone. However I have noticed that the trackpad is feeling off. But honestly who cares, you dont buy a gaming laptop and then use the track pad aha.","0"
"B005PAJHU4","ASUS G53SX-DH71 Full HD 15.6-Inch Gaming Laptop - Republic of Gamers (Black)","5","2015-05-08","Five Stars","Awesome machine!!","0"
"B00FQ6ZZUS","Evecase Razer Blade 14-Inch Slim Neoprene Sleeve Case for Razer Blade 14"" QHD+ Touchscreen Gaming Laptop 256GB/ 512GB - Orange","5","2015-05-08","Five Stars","nice","0"
"B00S5SM9BW","MSI GT80 TITAN SLI-001 18.4-Inch Gaming Laptop","5","2015-05-12","Five Stars","AWESOME!!!","1"
"B00MCJQ6MI","Lenovo Y70 17.3-Inch Touchscreen Gaming Laptop PC (Intel Core i7 2.5GHz, 8GB DDR3 RAM, 1TB Hard Drive, External DVDRW, Windows 8.1) - 80DU0033US","4","2015-05-17","graduated from college study buddy to srs bsnss","Delivered as promised. Excellent for gaming, I can run tons of mods on HD settings without crashing or lag. Windows 8 is unwieldy, it was obviously optimized for touchscreens. The touchscreen itself is sensitive enough, I only occasionally use it when I'm tutoring or need to take visual notes on certain projects. All in all, a good purchase for the price.","0"
"B00T7XRGGC","ASUS K501UX 15-inch Gaming Laptop (Intel Core i7 Processor, 8GB RAM, 256GB SSD Hard Drive, Windows 10 (64 bit)), Black/Silver Metal","5","2015-05-17","... opened the box I was in awe over how nice this laptop is","As soon as I opened the box I was in awe over how nice this laptop is. I already love it. I play a variety of games, some being Minecraft, The Forest, Battlefield Hardline, and some other games. My first game I tested was Minecraft. I decided to try out a smaller server first to test how smooth it ran. It had absolutely no lag. I was shocked because just about every other gaming laptop I've tried has given me lag for Minecraft. Then I tested a very large server and ran without any lag again! After that I decided to try out a game called &#34;The Forest&#34; in the steam store, now my last laptop I had to run on the lowest settings and it still lagged enough to where I could hardly play. I was able to run this game on the highest settings and again, had NO lag.<br /><br />I'm waiting on Battlefield Hardline to finish downloading and installing now, I'll add on to my review after I test that out!","1"
"B00REWHDKM","Lenovo Y70 17.3-Inch Touchscreen Gaming Laptop (80DU00BDUS) Black","5","2015-05-18","Five Stars","Excellent product. I recommend it","0"
"B00SIJGGGC","Alienware 15 ANW15-5350SLV 15.6"" Gaming Laptop - Intel Core i7-4710HQ Processor, 16GB RAM, 1TB HDD + 128GB SSD, NVIDIA GeForce GTX 970M 3GB, Windows 8.1","5","2015-05-18","amazing","had it for a few months now amazing laptop great for everything from video editing to Ultra settings on games","0"
"B00T7XRGGC","ASUS K501UX 15-inch Gaming Laptop (Intel Core i7 Processor, 8GB RAM, 256GB SSD Hard Drive, Windows 10 (64 bit)), Black/Silver Metal","4","2015-05-18","Great Machine Overall","The laptop is great! Runs everything I could throw at it with little to no hiccups whatsoever. I would give this machine 5 stars if it wasn't for my unfortunate purchase. The laptop had driver issues from the get-go (blue screen of death at least 4 times), and now no applications function properly, not even my control panel. So, I've requested a return label that I haven't received yet (it's been about a week and a half). Overall this is a great machine, mine was just bad luck.","0"
"B00T7XRGGC","ASUS K501UX 15-inch Gaming Laptop (Intel Core i7 Processor, 8GB RAM, 256GB SSD Hard Drive, Windows 10 (64 bit)), Black/Silver Metal","3","2015-05-19","Mine came in with an area of the screen slightly ...","Mine came in with an area of the screen slightly brighter than the rest making movie watching less immersive and the onboard wifi adapter disconnects alot. Also note there's no way to turn off the onboard video card.","0"
"B00SIJGBNK","Alienware 15 ANW15-1421SLV 15.6-Inch Gaming Laptop [Discontinued By Manufacturer]","4","2015-05-21","Four Stars","Ok","2"
"B00MMMMMX2","ASUS ROG 15.6"" Gaming Laptop w/ GeForce GTX860M 2GB GDDR5 and Optimus Technology","4","2015-05-22","But the graphics are amazing, and the speed","A few glitches..It is a laptop at the end of the day.  But the graphics are amazing, and the speed...Whoooosh!","0"
"B00NVV2B98","ASUS ROG G751JT-WH71(WX) 17-Inch Gaming Laptop, Nvidia GeForce GTX 970M, 16 GB RAM, 1 TB HDD (Win 10 Version)","5","2015-05-24","Great computer. Only draw backs are the keys (letters ...","Great computer.  Only draw backs are the keys (letters and characters) are red on black and harder to read, and the weight (that was not a issue for me but might be for others if looking for something lighter).","0"
"B00T7EXKLG","ASUS G751JL 17-Inch Gaming Laptop [2014 model]","5","2015-05-25","great laptop, but windows 8.1 sucks","so far i love it, windows 8.1 sucks though, i absolutely hate it.  the laptop on the other hand is amazing, no overheating when playing Skyrim at max detail with almost 200 mods installed, alot of which are high detail texture mods.","1"
"B00T7XRH2A","ASUS K501UX 15-inch Gaming Laptop (Intel Core i7 Processor, 8GB RAM, 256GB SSD Hard Drive, Windows 10 (64 bit)), Black/Silver Metal","5","2015-05-27","Five Stars","Great laptop. No problems yet, runs games very well.","0"
"B00T7XRH2A","ASUS K501UX 15-inch Gaming Laptop (Intel Core i7 Processor, 8GB RAM, 256GB SSD Hard Drive, Windows 10 (64 bit)), Black/Silver Metal","1","2015-05-27","There is no second HDD bay, the seller is lying","The seller claimed that this laptop came with a second hard drive bay where I could plug in a SSD drive. That is a straight up lie. The only way to add another drive is taking out the CD/DVD unit and using a third party special adapter (not included of course) to use the CD/DVD bay for the extra drive.<br /><br />Now I have two drives and can only use one until I'm able to find an adapter that works, buy it and send it over seas.....<br /><br />http://www.amazon.com/Does-model-drive-extra-storage/forum/Fx2M604HDF753S/Tx14IXT5ZGL8S9Y/1/ref=cm_cd_ql_tlc_al?_encoding=UTF8&asin=B00T7XRH2A","27"
