artist_name,album_name,album_release_date,album_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity,artist_popularity,artist_num_followers,artist_genres
Andy Hopkins,Acoustic & Raw,12/12/2007,0,0.500083333,0.480416667,-9.49175,0.043058333,0.549069583,0.689833333,0.1162,0.340183333,120.0975,201442.9167,0,0,17,
Annie & Mac,Message from the Hills,5/3/2010,0,0.614166667,0.423916667,-9.858166667,0.03595,0.744166667,0.268970833,0.116825,0.73675,115.717,154083.25,0,0,78,
Bird Dog,Disco Thunder,1/1/2007,0,0.3623,0.7175,-9.5582,0.071,0.1098215,0.12732892,0.15624,0.4371,154.3075,238389.4,0,0,39,
"David Fdez, Pablo Lopez",Individual Groove,5/1/2015,0,0.753,0.8976,-5.6256,0.04338,0.0698375,0.56212,0.12376,0.6932,124.6092,384863.6,0,0,2,
Justin Gaston,Pineville,3/20/2012,0,0.572571429,0.55,-8.101857143,0.0272,0.301814286,0.000712657,0.142271429,0.456857143,122.869,227470.2857,0,0,60,
Justin Gaston,Songs for Her (Demo Mixtape),4/15/2017,0,0.617,0.4965,-8.7905,0.0309,0.508175,0.000441734,0.1405,0.5175,132.56875,237345.5,0,0,60,
Mark King,Heartfelt,1/30/2016,0,0.689454545,0.571,-7.826545455,0.033136364,0.416363636,0.007528736,0.2243,0.432818182,128.4991818,307318.8182,0,0,3,
Paolo Carta Mantiglia,Night in Greenwich,10/13/2015,0,0.488,0.436222222,-8.667666667,0.031077778,0.710266667,0.601844444,0.141955556,0.359622222,119.0871111,316769.6667,0,0,9,
Paolo Carta Mantiglia,Èpanuissement,10/13/2015,0,0.474444444,0.263433333,-14.33388889,0.033566667,0.903555556,0.540057778,0.158588889,0.319,109.7492222,322083.8889,0,0,9,
Paul Leon Anderson,Simpleton,5/15/2015,0,0.629454545,0.648090909,-10.34154545,0.080881818,0.305874545,0.646643636,0.119381818,0.312236364,125.2830909,367272.7273,0,0,1,
Paul Leon Anderson,Things,4/14/2014,0,0.6096,0.6076,-9.844,0.06818,0.2648189,0.6475,0.06783,0.37552,106.7268,314814.6,0,0,1,
Raveneye,From the Inside Out,5/2/2017,0,0.497777778,0.641833333,-13.97205556,0.037411111,0.120644599,0.720055556,0.172883333,0.575205556,130.5602778,242523.7222,0,0,13,
Brian Kelley,Cake,1/1/2007,0,0.563181818,0.565454545,-7.934545455,0.052890909,0.524272727,0.143471273,0.121909091,0.469727273,120.6460909,240652.0909,0,1,132,
Kevin Hearn,Cloud Maintenance,12/20/2011,0,0.631,0.5282,-12.0715,0.03784,0.5638,0.11780082,0.15834,0.4592,129.6806,206068,0,1,464,
Brian Ray,Mondo Magneto,1/1/2006,0,0.5252,0.7745,-6.4161,0.04469,0.06060185,0.000556409,0.14836,0.54,132.2277,227703.9,0,2,285,
Lucas Cordalis,I Have a Dream,9/19/2014,0,0.604705882,0.880588235,-4.285529412,0.057458824,0.108726471,0.142042249,0.3035,0.555647059,129.7747647,221270.9412,0,2,84,
Michael Clifford,Songs of My Soul,5/18/2015,0,0.503,0.254714286,-11.88757143,0.040457143,0.809142857,0.005506667,0.107185714,0.437571429,138.4487143,255076.4286,0,4,2193,
Michael Clifford,Heartbreaker,9/9/2009,0,0.799555556,0.663777778,-10.14855556,0.064222222,0.041147,0.300877778,0.150611111,0.501777778,125.551,408413,0,4,2193,
Michael Clifford,Hearts Like Mine,11/18/2013,0,0.485416667,0.43,-5.608416667,0.036558333,0.699666667,2.53E-07,0.190641667,0.473166667,106.8546667,229367.75,0,4,2193,
Ryan Laird,Ryan Laird,3/8/2015,0,0.566571429,0.681285714,-5.832857143,0.039771429,0.304485714,4.60E-07,0.105014286,0.554571429,136.7392857,200108.5714,0,6,257,canadian country
Carnie Wilson,Christmas With Carnie,10/2/2007,0,0.4925,0.464,-8.845,0.033241667,0.506083333,5.92E-06,0.119858333,0.464841667,120.0924167,186725.5833,0,11,103,
Stella Parton,Love Ya,3/31/1979,0,0.6149,0.3896,-14.4596,0.03693,0.4185,6.72E-05,0.12757,0.5848,129.5225,169152,0,12,1070,deep contemporary country
Stella Parton,Resurrection,10/1/2013,0,0.69405,0.8677,-6.56835,0.05374,0.0701697,0.143382707,0.2102,0.71375,127.74645,330117.45,0,12,1070,deep contemporary country
Stella Parton,Tell It Sister Tell It,6/1/2011,0,0.564545455,0.548818182,-7.107545455,0.033836364,0.379390909,3.64E-05,0.212090909,0.412,124.7871818,213547.9091,0,12,1070,deep contemporary country
Stella Parton,Testimony,12/1/2008,0,0.535,0.668090909,-5.464545455,0.038736364,0.406090909,1.85E-05,0.184154545,0.560272727,127.3200909,198051,0,12,1070,deep contemporary country
Stella Parton,Live At Dollywood,8/19/2013,0,0.631,0.525454545,-8.860636364,0.312709091,0.812090909,3.67E-05,0.491090909,0.570818182,110.9558182,238132.1818,0.090909091,12,1070,deep contemporary country
Stella Parton,So Far...So Good,1/1/1982,0,0.5731,0.6547,-10.6577,0.04168,0.3852,0.0710764,0.20065,0.7397,121.7455,184400.1,0,12,1070,deep contemporary country
Stella Parton,In The Spirit,8/17/2008,0,0.602454545,0.367181818,-10.64354545,0.0347,0.560090909,0,0.230681818,0.565545455,122.4060909,214217.0909,0.090909091,12,1070,deep contemporary country
Stella Parton,Country Sweet,10/8/1977,0,0.654,0.3056,-14.9745,0.04032,0.6515,1.14E-05,0.16196,0.6398,107.9727,155757.4,0,12,1070,deep contemporary country
Stella Parton,Stella Parton,1/1/1978,0,0.6424,0.3438,-13.2507,0.03096,0.5351,9.21E-06,0.12252,0.6303,120.118,156962.8,0.1,12,1070,deep contemporary country
Stella Parton,Holiday Magic,12/1/2008,0,0.5801,0.5353,-7.738,0.08053,0.47962,3.11E-06,0.1985,0.666,141.2947,157316.2,0,12,1070,deep contemporary country
Stella Parton,Blue Heart,1/11/2002,0,0.655090909,0.445,-8.101545455,0.031254545,0.396363636,0.000354515,0.185272727,0.393363636,120.7653636,224225.4545,0,12,1070,deep contemporary country
Stella Parton,Young Love,5/14/2009,0,0.595111111,0.694777778,-8.518444444,0.051666667,0.328777778,0.074008889,0.208744444,0.741,121.965,205559.8889,0,12,1070,deep contemporary country
Stella Parton,Mountain Rose-Live In Norway,1/1/2009,0,0.564142857,0.313607143,-13.18021429,0.356707143,0.48,0,0.2285,0.430785714,124.1954286,327344.7857,0,12,1070,deep contemporary country
Stella Parton,Dollys Sister - [The Dave Cash Collection],5/9/2011,0,0.5895,0.4614,-19.2961,0.04426,0.4849,0.148209,0.23929,0.7632,118.3785,189706.6,0,12,1070,deep contemporary country
Stella Parton,Romantic Moments,8/17/2008,0,0.5316,0.16315,-21.2296,0.03516,0.533,0.001501775,0.13978,0.4087,107.8711,225072,0,12,1070,deep contemporary country
Stella Parton,The Sun Is Shining,2/28/2011,0,0.5895,0.4614,-19.2961,0.04426,0.4849,0.148209,0.23929,0.7632,118.3785,189706.6,0,12,1070,deep contemporary country
Stella Parton,Appalachian Blues,1/11/2002,0,0.5853,0.3755,-9.689,0.02886,0.4144,2.16E-05,0.1465,0.3361,120.9464,208394.8,0,12,1070,deep contemporary country
Stella Parton,Buried Treasures,9/30/2014,0,0.622,0.5821,-7.1185,0.03841,0.38535,0.011964849,0.09726,0.4801,109.4786,194896,0,12,1070,deep contemporary country
Stella Parton,Heart & Soul,8/18/2008,0,0.5834,0.3508,-20.4693,0.03722,0.3521,0.002350403,0.1098,0.6856,121.2023,211900.1,0.1,12,1070,deep contemporary country
Francis Rossi,"Live at St. Lukes, London",3/4/2011,0,0.545722222,0.831666667,-5.363944444,0.04515,0.210788889,7.04E-05,0.736,0.6105,144.7698333,242561.5,0,13,783,
Francis Rossi,One Step at a Time,5/7/2010,0,0.609818182,0.728727273,-7.12,0.114072727,0.213745455,6.15E-05,0.291836364,0.723727273,143.8827273,211280,0,13,783,
Chris Miller,Taylor & Me,5/24/2017,0,0.543571429,0.228714286,-11.37871429,0.040442857,0.829,0.153576571,0.108385714,0.508714286,122.6917143,154053.2857,0,15,79,
Chris Miller,Ready Now,2/15/2007,0,0.542142857,0.306,-12.06257143,0.037628571,0.681714286,5.71E-05,0.139985714,0.281142857,107.0115714,200527.7143,0,15,79,
